Genome	IMG ID	Clade	narB PCR	% Genome Recovery	nirA	focA	narB	napA
AG-673-A10	2716884616	Syn 5.1	n.d.	58.11	1	1	1	0
AG-673-B08	2716884617	Syn 5.1	n.d.	52.05	1	1	1	1
AG-683-A03	2716884626	Syn 5.1	n.d.	52.04	1	1	1	1
AG-670-D07	2716884611	Syn 5.1	n.d.	51.98	1	0	1	1
AG-683-G11	2716884675	Syn 5.1	n.d.	50.17	1	1	1	1
AG-670-A19	2716884609	Syn 5.1	n.d.	47.37	1	1	1	1
AG-670-A04	2716884607	Syn 5.1	n.d.	45.29	1	1	1	1
AG-402-L18	2667527345	HL.OTHER	0	87.09	0	0	0	0
EQPAC1	2606217689	HLI	n.d.	>99	0	0	0	0
MED4	2606217259	HLI	n.d.	>99	0	0	0	0
MIT9515	2623620345	HLI	n.d.	>99	0	0	0	0
AG-418-M08	2716884409	HLI	0	98.51	0	0	0	0
AG-402-N10	2667527275	HLI	0	95.11	0	0	0	0
AG-347-J22	2667527322	HLI	0	89.27	0	0	0	0
AG-459-A09	2716884789	HLI	1	84.74	1	0	1	1
AG-459-O03	2716884798	HLI	0	72.14	0	0	0	0
AG-459-P02	2716884459	HLI	1	59.92	1	0	1	1
AG-459-M13	2716884796	HLI	1	59.24	0	0	0	0
AG-459-P16	2716884460	HLI	0	57.02	0	0	0	0
AG-459-J20	2716884795	HLI	1	50.32	1	0	1	1
AG-335-D02	2716884715	HLI	n.d.	45.83	1	0	1	1
AG-335-O19	2716884722	HLI	n.d.	44.14	1	0	1	1
AG-459-A01	2716884456	HLI	0	41.54	0	0	0	0
AG-459-P19	2716884800	HLI	0	39.27	0	0	0	0
AS9601	2623620959	HLII	n.d.	>99	0	0	0	0
GP2	2606217606	HLII	n.d.	>99	0	0	0	0
MIT0604	2606217688	HLII	n.d.	>99	1	0	1	1
MIT1314	2681813573	HLII	n.d.	>99	0	0	0	0
MIT9107	2606217692	HLII	n.d.	>99	0	0	0	0
MIT9116	2606217690	HLII	n.d.	>99	0	0	0	0
MIT9123	2606217318	HLII	n.d.	>99	0	0	0	0
MIT9201	2606217687	HLII	n.d.	>99	0	0	0	0
MIT9202	2623620984	HLII	n.d.	>99	0	0	0	0
MIT9215	2606217559	HLII	n.d.	>99	0	0	0	0
MIT9301	2623620961	HLII	0	>99	0	0	0	0
MIT9302	2606217691	HLII	n.d.	>99	0	0	0	0
MIT9311	2606217680	HLII	n.d.	>99	0	0	0	0
MIT9312	2606217708	HLII	n.d.	>99	0	0	0	0
MIT9314	2606217312	HLII	n.d.	>99	0	0	0	0
MIT9321	2606217683	HLII	n.d.	>99	0	0	0	0
MIT9322	2606217679	HLII	n.d.	>99	0	0	0	0
MIT9401	2606217316	HLII	n.d.	>99	0	0	0	0
SB	2606217677	HLII	1	>99	1	0	1	1
AG-402-K21	2667527344	HLII	0	98.1	0	0	0	0
AG-402-M15	2667527272	HLII	0	97.28	0	0	0	0
AG-412-J13	2716884760	HLII	n.d.	97.11	1	0	1	1
AG-355-N16	2667527304	HLII	0	96.33	0	0	0	0
AG-402-L23	2667527271	HLII	1	95.79	1	0	1	1
AG-355-B18	2667527285	HLII	0	95.7	0	0	0	0
AG-347-L20	2667527248	HLII	1	95.24	1	0	1	1
AG-402-N08	2716884383	HLII	1	95.15	1	0	1	1
AG-347-G18	2667527329	HLII	1	95.03	1	0	1	1
AG-355-M02	2667527301	HLII	1	94.88	0	0	0	0
AG-355-O17	2667527308	HLII	0	94.61	1	0	0	0
AG-347-K16	2667527326	HLII	0	94.47	0	0	0	0
AG-347-L02	2667527245	HLII	0	94.2	0	0	0	0
AG-355-I04	2667527288	HLII	0	94.02	0	0	0	0
AG-347-K18	2667527240	HLII	0	93.93	0	0	0	0
AG-418-D13	2716884768	HLII	1	93.93	1	0	1	1
AG-347-L17	2667527246	HLII	1	93.8	1	0	0	0
AG-347-I06	2667527332	HLII	0	93.75	0	0	0	0
AG-347-J19	2667527339	HLII	0	93.75	0	0	0	0
AG-355-K20	2667527295	HLII	0	93.7	0	0	0	0
AG-347-I19	2667527334	HLII	1	93.34	1	0	1	1
AG-347-I21	2667527335	HLII	1	93.21	1	0	1	1
AG-355-P11	2667527349	HLII	0	93.1	0	0	0	0
AG-347-J21	2667527341	HLII	0	92.84	0	0	0	0
AG-402-O16	2667527278	HLII	0	92.8	0	0	0	0
AG-418-I20	2716884403	HLII	0	92.66	0	0	0	0
AG-355-P07	2667527348	HLII	0	92.53	0	0	0	0
AG-402-I23	2667527263	HLII	1	92.53	1	0	1	1
AG-442-N07	2716884446	HLII	n.d.	92.12	1	0	1	1
AG-347-K19	2667527241	HLII	0	92.07	0	0	0	0
AG-355-A09	2667527284	HLII	0	92.03	0	0	0	0
AG-355-J09	2667527291	HLII	1	91.91	1	0	1	1
AG-355-P16	2667527351	HLII	0	91.85	1	0	0	0
AG-347-K17	2667527239	HLII	1	91.53	1	0	1	1
AG-347-M08	2716884361	HLII	1	91.53	0	0	0	0
AG-347-J14	2667527338	HLII	0	91.17	0	0	0	0
AG-355-N02	2667527303	HLII	0	91.17	0	0	0	0
AG-355-N22	2667527306	HLII	0	90.85	0	0	0	0
AG-347-J20	2667527340	HLII	0	90.67	0	0	0	0
AG-347-K20	2667527242	HLII	0	90.49	0	0	0	0
AG-347-E23	2716884358	HLII	1	90.22	0	0	0	0
AG-347-I04	2716884359	HLII	1	90.04	1	0	1	1
AG-347-M23	2667527252	HLII	1	89.58	1	0	1	1
AG-347-G20	2667527330	HLII	0	89.4	1	0	1	1
AG-418-P13	2716884414	HLII	0	89.4	1	0	1	1
AG-402-K16	2667527343	HLII	1	89.18	1	0	1	1
AG-347-K02	2667527324	HLII	1	89.09	0	0	0	0
AG-355-N18	2667527347	HLII	1	88.72	1	0	1	1
AG-355-P18	2667527352	HLII	0	88.68	0	0	0	0
AG-402-F05	2716884380	HLII	1	88.67	1	0	1	1
AG-347-N19	2667527253	HLII	1	87.77	0	0	0	0
AG-355-J23	2667527292	HLII	0	87.41	0	0	0	0
AG-347-I15	2667527333	HLII	0	86.96	0	0	0	0
AG-347-O22	2667527255	HLII	1	86.91	1	0	1	1
AG-355-L02	2667527297	HLII	0	86.87	0	0	0	0
AG-347-J06	2716884360	HLII	1	86.85	1	0	1	1
AG-402-K22	2667527267	HLII	1	86.19	0	0	1	1
AG-347-E03	2716884357	HLII	1	86.01	0	0	0	0
AG-347-M18	2667527251	HLII	0	85.78	0	0	0	0
AG-347-K10	2716884262	HLII	1	85.64	0	0	0	0
AG-355-K15	2667527294	HLII	0	85.39	0	0	0	0
AG-355-L20	2667527298	HLII	0	85.24	0	0	0	0
AG-418-F08	2716884769	HLII	1	84.89	0	0	0	0
AG-355-G23	2667527287	HLII	1	84.83	1	0	1	1
AG-347-M15	2667527250	HLII	0	84.38	0	0	0	0
AG-402-C22	2716884378	HLII	1	84.01	0	0	0	0
AG-418-J17	2716884404	HLII	0	83.29	0	0	0	0
AG-418-P06	2716884413	HLII	0	83.02	0	0	0	0
AG-347-L19	2667527247	HLII	1	82.52	0	0	0	0
AG-347-L21	2667527249	HLII	0	81.95	0	0	0	0
AG-402-N23	2667527277	HLII	0	81.79	0	0	0	0
AG-355-I20	2667527289	HLII	1	81.16	1	0	1	1
AG-355-M18	2667527302	HLII	0	80.66	0	0	0	0
AG-402-A04	2716884372	HLII	1	80.21	1	0	1	1
AG-355-K03	2716884364	HLII	1	80.16	0	0	0	0
AG-347-G22	2667527331	HLII	0	79.98	0	0	0	0
AG-418-O03	2716884412	HLII	1	79.48	1	0	1	1
AG-355-B23	2667527286	HLII	1	79.38	1	0	1	1
AG-347-J23	2667527323	HLII	0	79.08	0	0	0	0
AG-418-O02	2716884411	HLII	1	77.94	1	0	1	1
AG-459-N19	2716884797	HLII	0	76.81	0	0	0	0
AG-347-K15	2667527325	HLII	0	76.13	0	0	0	0
AG-347-C10	2716884356	HLII	1	75.07	0	0	0	0
AG-347-B23	2667527321	HLII	0	74.67	0	0	0	0
AG-355-P15	2667527350	HLII	0	74.67	0	0	0	0
AG-355-L22	2667527300	HLII	0	74.34	0	0	0	0
AG-459-O09	2716884458	HLII	1	74.05	1	0	1	1
AG-449-C14	2716884448	HLII	n.d.	72.82	1	0	1	1
AG-418-G18	2716884770	HLII	1	72.54	0	0	0	0
AG-355-J04	2667527290	HLII	0	71.95	0	0	0	0
AG-355-K23	2667527296	HLII	0	71.78	0	0	0	0
AG-402-G23	2667527258	HLII	1	71.56	1	0	1	1
AG-459-D04	2716884792	HLII	1	70.79	1	0	1	1
AG-355-A18	2716884362	HLII	1	70.43	1	0	1	1
AG-418-G23	2716884402	HLII	0	70.2	0	0	0	0
AG-355-K13	2667527293	HLII	0	70.01	0	0	0	0
AG-418-J19	2716884405	HLII	1	69.7	0	0	0	0
AG-459-B06	2716884790	HLII	1	69.57	1	0	1	1
AG-418-F16	2716884401	HLII	1	68.34	0	0	0	0
AG-355-N23	2667527307	HLII	0	67.37	0	0	0	0
AG-424-M03	2716884775	HLII	n.d.	67.1	1	0	1	1
AG-418-I21	2716884771	HLII	0	67.07	0	0	0	0
AG-459-E08	2716884793	HLII	0	66.94	0	0	0	0
AG-459-J14	2716884794	HLII	1	66.03	1	0	1	1
AG-347-N23	2667527254	HLII	0	64.4	0	0	0	0
AG-347-I22	2667527336	HLII	1	64.31	1	0	1	1
AG-402-N17	2716884735	HLII	1	64.04	1	0	1	1
AG-418-B17	2716884765	HLII	0	63.5	0	0	0	0
AG-347-I23	2667527337	HLII	0	61.94	0	0	0	0
AG-347-L13	2716884264	HLII	1	61.87	1	0	1	1
AG-459-A02	2716884457	HLII	1	57.49	1	0	1	1
AG-347-K22	2716884263	HLII	1	56.9	1	0	1	1
AG-355-K10	2716884365	HLII	1	55.17	1	0	1	1
AG-670-M18	2716884479	HLII	n.d.	53.68	0	0	1	1
AG-347-K23	2667527244	HLII	0	53.12	0	0	0	0
AG-355-A02	2667527283	HLII	1	50.86	0	0	1	1
AG-402-O23	2667527280	HLII	0	49.74	0	0	0	0
AG-418-L19	2716884407	HLII	0	49.59	0	0	0	0
AG-363-A05	2667527356	HLII	0	49.23	0	0	0	0
AG-347-K21	2667527243	HLII	0	48.69	0	0	0	0
AG-347-B08	2716884355	HLII	1	47.28	0	0	0	0
AG-459-P20	2716884801	HLII	0	47.01	0	0	0	0
AG-355-J21	2667527346	HLII	0	45.29	0	0	0	0
AG-347-J05	2716884726	HLII	1	43.29	0	0	0	0
AG-355-J17	2716884363	HLII	1	43.1	1	0	1	1
AG-355-N21	2667527305	HLII	0	41.38	0	0	0	0
AG-355-L21	2667527299	HLII	0	40.49	0	0	0	0
AG-449-K21	2716884788	HLII	n.d.	39.95	0	0	1	1
AG-355-O19	2716884366	HLII	1	37.32	1	0	1	1
AG-429-C19	2716884422	HLII	n.d.	35.87	1	0	1	1
AG-355-P23	2667527353	HLII	0	34.64	0	0	0	0
AG-455-E04	2716884452	HLII	n.d.	31.21	1	0	1	0
AG-335-I15	2716884260	HLII	n.d.	26.69	1	0	1	1
AG-418-K17	2716884406	HLII	0	76.77	0	0	0	0
AG-363-P06	2667527317	HLVI	0	99.18	1	1	0	0
AG-402-K10	2667527266	HLVI	0	93.61	0	0	0	0
AG-363-B18	2667527363	HLVI	1	93.39	1	0	1	1
MIT1223	2681813568	LL.MIT1223	n.d.	>99	1	1	0	0
AG-402-N21	2667527276	LL.MIT1223	0	79.8	0	0	0	0
MIT1300	2681813570	LL.OTHER	n.d.	>99	1	1	0	0
MIT1307	2681813572	LL.OTHER	n.d.	>99	1	1	0	0
MIT1341	2681813574	LL.OTHER	n.d.	>99	1	1	0	0
AG-363-P19	2667527320	LL.OTHER	0	94.02	1	1	0	0
AG-363-A16	2667527359	LL.OTHER	0	93.34	1	1	0	0
AG-363-K07	2667527371	LL.OTHER	0	91.21	1	1	0	0
AG-363-C20	2667527366	LL.OTHER	0	90.22	0	0	0	0
AG-363-P08	2667527318	LL.OTHER	0	85.14	1	1	0	0
AG-363-N20	2667527311	LL.OTHER	0	77.85	1	1	0	0
AG-363-O06	2667527312	LL.OTHER	0	77.58	1	1	0	0
AG-363-O15	2667527313	LL.OTHER	0	77.12	1	1	0	0
AG-363-B04	2667527360	LL.OTHER	0	75.68	0	0	0	0
AG-363-P01	2667527316	LL.OTHER	0	73.19	1	1	0	0
AG-363-M17	2667527375	LL.OTHER	0	72.28	1	0	0	0
AG-363-J23	2667527370	LL.OTHER	0	67.53	0	0	0	0
AG-363-P15	2667527319	LL.OTHER	0	60.4	0	0	0	0
AG-363-O16	2667527314	LL.OTHER	0	58.69	1	1	0	0
AG-363-I04	2667527309	LL.OTHER	0	50.82	1	1	0	0
AG-363-L02	2667527372	LL.OTHER	0	50.4	0	0	0	0
AG-363-A06	2667527357	LL.OTHER	0	47.87	1	1	0	0
AG-363-A15	2667527358	LL.OTHER	0	44.55	0	0	0	0
AG-402-K05	2667527265	LL.OTHER	0	41.38	0	0	0	0
AG-363-L19	2667527374	LL.OTHER	0	37.93	0	0	0	0
AG-363-O21	2667527315	LL.OTHER	0	36.21	0	0	0	0
MIT0801	2606217560	LLI	n.d.	>99	1	1	0	0
MIT0912	2681812899	LLI	n.d.	>99	1	1	1	1
MIT0913	2681812900	LLI	n.d.	>99	1	1	1	1
MIT0915	2681812901	LLI	n.d.	>99	1	1	1	1
MIT0917	2681812859	LLI	1	>99	1	0	1	1
MIT1013	2681812904	LLI	n.d.	>99	1	1	0	0
MIT1214	2681813567	LLI	n.d.	>99	1	1	0	0
NATL1A	2623620348	LLI	n.d.	>99	1	1	0	0
NATL2A	2606217240	LLI	0	>99	1	1	0	0
PAC1	2606217419	LLI	n.d.	>99	1	1	1	1
AG-402-P18	2667527282	LLI	0	94.66	1	1	0	0
AG-402-O21	2667527279	LLI	1	94.38	1	0	1	1
AG-402-I21	2667527261	LLI	0	92.53	1	1	0	0
AG-402-B05	2716884375	LLI	1	92.26	1	1	1	1
AG-402-B03	2716884374	LLI	1	91.3	1	1	1	1
AG-402-I20	2667527260	LLI	0	90.81	1	1	0	0
AG-402-L20	2667527270	LLI	1	89.92	1	0	1	1
AG-402-A21	2667527256	LLI	0	89.8	1	1	0	0
AG-402-M18	2667527273	LLI	0	89.43	1	1	0	0
AG-402-I05	2667527259	LLI	1	87.77	0	0	0	0
AG-402-B19	2716884732	LLI	1	87.41	0	0	1	1
AG-402-N09	2716884384	LLI	1	87.36	1	0	1	1
AG-402-L09	2667527268	LLI	1	87.09	1	1	1	1
AG-402-C09	2716884377	LLI	1	86.91	1	0	1	1
AG-409-A10	2716884385	LLI	n.d.	86.68	1	1	1	1
AG-402-G08	2716884381	LLI	1	85.76	1	0	1	1
AG-402-G06	2716884265	LLI	1	84.69	1	0	1	1
AG-402-K14	2667527342	LLI	0	84.51	1	1	0	0
AG-402-A08	2716884373	LLI	1	84.44	1	1	1	1
AG-402-M23	2667527274	LLI	1	84.38	1	0	1	1
AG-402-P16	2667527281	LLI	0	78.67	1	1	0	0
AG-402-I22	2667527262	LLI	0	77.24	1	0	0	0
AG-459-P07	2716884799	LLI	0	74.16	1	1	0	0
AG-402-K04	2716884382	LLI	1	73.97	0	0	1	1
AG-363-A03	2667527354	LLI	0	71.65	1	1	0	0
AG-402-E17	2716884379	LLI	1	70.56	1	0	1	1
AG-363-B05	2667527361	LLI	0	66.18	0	0	0	0
AG-402-G19	2716884734	LLI	1	65.62	1	1	1	1
AG-402-J18	2667527264	LLI	0	61.78	0	0	0	0
AG-402-B10	2716884376	LLI	1	55.66	0	0	0	0
AG-363-G03	2667527367	LLI	0	52.3	0	0	0	0
AG-363-A04	2667527355	LLI	0	47.45	0	0	0	0
AG-459-C18	2716884791	LLI	0	47.33	1	0	0	0
AG-311-K21	2716884633	LLI	n.d.	46.35	1	0	1	0
AG-363-M20	2667527376	LLI	1	45.64	1	1	1	1
AG-402-L19	2667527269	LLI	1	45.52	1	1	0	0
AG-363-B19	2667527364	LLI	0	41.58	0	0	0	0
MIT0602	2606217317	LLII-III	n.d.	>99	0	0	0	0
MIT0603	2606217686	LLII-III	n.d.	>99	0	0	0	0
MIT0918	2681812902	LLII-III	n.d.	>99	1	1	0	0
MIT1304	2681813571	LLII-III	n.d.	>99	1	1	0	0
SS120	2623620733	LLII-III	n.d.	>99	0	0	0	0
AG-402-G10	2716884733	LLII-III	0	91.3	1	1	0	0
AG-363-B11	2667527362	LLII-III	0	82.05	1	1	0	0
AG-363-C02	2667527365	LLII-III	0	77.85	0	0	0	0
AG-363-I21	2667527369	LLII-III	0	68.49	1	1	0	0
AG-363-G23	2667527368	LLII-III	0	33.97	1	1	0	0
MIT0601	2606217319	LLII-III	n.d.	>99	0	0	0	0
MIT0919	2681812903	LLII-III	n.d.	>99	0	0	0	0
MIT9211	2623620960	LLII-III	n.d.	>99	0	0	0	0
AG-402-G22	2667527257	LLII-III	0	87.6	0	0	0	0
AG-363-N16	2667527310	LLII-III	0	85.29	0	0	0	0
AG-363-M21	2667527327	LLII-III	0	64.9	1	1	0	0
AG-363-N03	2667527328	LLII-III	0	51.49	0	0	0	0
MIT0701	2606217684	LLIV	n.d.	>99	1	1	0	0
MIT0702	2606217681	LLIV	n.d.	>99	1	1	0	0
MIT0703	2606217682	LLIV	n.d.	>99	1	1	0	0
MIT1205	2681813566	LLIV	n.d.	>99	1	1	0	0
MIT1227	2681813569	LLIV	n.d.	>99	1	1	0	0
MIT1303	2681812923	LLIV	n.d.	>99	1	1	0	0
MIT1306	2681812924	LLIV	n.d.	>99	1	1	0	0
MIT1312	2681812925	LLIV	n.d.	>99	1	1	0	0
MIT1313	2681812926	LLIV	n.d.	>99	1	1	0	0
MIT1318	2681812927	LLIV	n.d.	>99	1	1	0	0
MIT1320	2681812928	LLIV	n.d.	>99	1	1	0	0
MIT1323	2681812948	LLIV	n.d.	>99	1	1	0	0
MIT1327	2681812949	LLIV	n.d.	>99	1	1	0	0
MIT1342	2681812950	LLIV	n.d.	>99	1	1	0	0
MIT1418	2681813575	LLIV	n.d.	>99	1	1	0	0
MIT9303	2623620962	LLIV	n.d.	>99	1	1	0	0
MIT9313	2606217562	LLIV	n.d.	>99	1	1	0	0
